architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,max_memory_mb,memory_measurement,node_count,edge_count
partitioned,30,104,4,50,5,completed,50,50,200,3.740171199722681,3.767593599797692,15.019768700411078,22.665045899979305,650,303,347,888.0703125,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,208,4,50,1,completed,50,50,200,7.544563599978574,7.430908399983309,30.63183020008728,45.74330530001316,650,303,347,899.93359375,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,208,4,50,2,completed,50,50,200,7.3184746998013,7.279929600015748,29.838350199861452,44.57282350002788,650,303,347,899.94921875,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,208,4,50,3,completed,50,50,200,7.55075659987051,7.384110599930864,29.841660499863792,44.91115399997216,650,303,347,899.64453125,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,208,4,50,4,completed,50,50,200,7.460617600067053,7.574154900154099,30.477732100058347,45.647614800021984,650,303,347,900.1640625,Windows GetProcessMemoryInfo working set,42,41
partitioned,30,208,4,50,5,completed,50,50,200,7.324358899903018,7.231093000154942,29.920767599949613,44.6090608999948,650,303,347,899.77734375,Windows GetProcessMemoryInfo working set,42,41
partitioned,90,52,4,50,1,completed,50,50,200,5.643658499990124,5.569091999903321,23.172159999900032,34.52125289995456,650,303,347,879.3515625,Windows GetProcessMemoryInfo working set,122,121
partitioned,90,52,4,50,2,completed,50,50,200,6.326571200159378,6.502919699938502,26.01983640016988,39.01886100001866,650,303,347,879.3515625,Windows GetProcessMemoryInfo working set,122,121
partitioned,90,52,4,50,3,completed,50,50,200,5.840811000089161,5.885717600060161,23.95355709985597,35.81381439999677,650,303,347,879.3515625,Windows GetProcessMemoryInfo working set,122,121
partitioned,90,52,4,50,4,completed,50,50,200,5.488881399855018,5.4282489999895915,22.048656399943866,33.10064580000471,650,303,347,879.3515625,Windows GetProcessMemoryInfo working set,122,121
partitioned,90,52,4,50,5,completed,50,50,200,5.203326199785806,5.2833483999129385,21.986169700103346,32.59665700001642,650,303,347,879.3515625,Windows GetProcessMemoryInfo working set,122,121
partitioned,300,52,4,50,1,timeout,39,39,156,19.255172499921173,19.552692000055686,81.47511639993172,120.393653099949,507,237,270,879.72265625,Windows GetProcessMemoryInfo working set,402,401
partitioned,300,52,4,50,2,timeout,42,42,168,20.426398099865764,19.96466830011923,81.01785399980145,121.52752840000903,546,255,291,879.9296875,Windows GetProcessMemoryInfo working set,402,401
partitioned,300,52,4,50,3,timeout,41,41,164,19.611494099895936,20.232566800143104,81.22792430012487,121.17998499999521,533,249,284,880.16015625,Windows GetProcessMemoryInfo working set,402,401
partitioned,300,52,4,50,4,timeout,39,39,156,20.38763800007291,19.54072379990248,80.1580302999937,120.19220450002467,507,237,270,879.69921875,Windows GetProcessMemoryInfo working set,402,401
partitioned,300,52,4,50,5,timeout,40,40,160,19.775687600369565,19.8701873999089,81.75549790001241,121.50575599999866,520,243,277,879.7421875,Windows GetProcessMemoryInfo working set,402,401
