method,alpha,duration,candidate_count,threshold_crossings,full_signatures,full_signature_count
MI-MDA,0.9,3,50,33,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,8
MI-MDA,0.9,4,50,30,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,6
MI-MDA,0.85,1,50,36,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-MDA,0.85,2,50,33,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,9
MI-MDA,0.85,3,50,28,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,8
MI-MDA,0.85,4,50,23,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-MDA,0.8,1,50,31,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
MI-MDA,0.8,2,50,25,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,7
MI-MDA,0.8,3,50,25,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,7
MI-MDA,0.8,4,50,18,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
