execution_id,request_id,method,candidate_id,threshold,purpose,active,direct_impact,event_indices,event_specification,elapsed_seconds,topology
126,271,RST,RST-39,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.007728600001428276,A
127,276,RST,RST-40,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.011269500013440847,A
128,277,RST,RST-40,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.0075573999783955514,A
129,278,RST,RST-40,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4}]",0.00789100001566112,A
130,281,RST,RST-40,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.15,""start_week"":14,""duration_weeks"":4,""recovery_weeks"":2}]",0.00743180001154542,A
131,286,RST,RST-41,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.010204699996393174,A
132,287,RST,RST-41,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.007957199995871633,A
133,288,RST,RST-41,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4}]",0.006519999995362014,A
134,289,RST,RST-41,moderate,singleton,False,False,1,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.008531300001777709,A
135,291,RST,RST-41,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.008255699998699129,A
136,298,RST,RST-42,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.007503200031351298,A
137,299,RST,RST-42,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.013151500024832785,A
138,300,RST,RST-42,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4}]",0.008764800033532083,A
139,303,RST,RST-42,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.01285589998587966,A
140,310,RST,RST-43,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.00877410004613921,A
141,311,RST,RST-43,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.010065600043162704,A
142,312,RST,RST-43,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4}]",0.0057625999907031655,A
143,315,RST,RST-43,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.006807900033891201,A
144,322,RST,RST-44,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.009546299988869578,A
145,323,RST,RST-44,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.006191299995407462,A
146,324,RST,RST-44,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4}]",0.005141100031323731,A
147,327,RST,RST-44,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]",0.007750099990516901,A
