architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
partitioned,30,52,4,50,5,completed,50,50,200,600,2.265610100061167,2.297065499878954,9.01239260006696,13.72879299998749,650,303,347,269.33203125,269.39453125,0.0625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,1,completed,100,100,400,1200,4.633607500290964,4.747853800363373,18.620186100597493,28.321993099991232,1300,603,697,269.421875,269.71484375,0.29296875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,2,completed,100,100,400,1200,4.6754404997918755,4.683976800180972,18.237316800223198,28.073094799998216,1300,603,697,269.71484375,269.71484375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,3,completed,100,100,400,1200,4.560332200024277,4.550341299851425,18.401262299972586,27.839781899994705,1300,603,697,269.71484375,269.71484375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,4,completed,100,100,400,1200,4.588295099907555,4.504689099674579,17.590101300098468,26.996284699998796,1300,603,697,266.6640625,266.890625,0.2265625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,5,completed,100,100,400,1200,4.211505799787119,4.3485781999188475,16.779419499565847,25.645984900009353,1300,603,697,266.890625,266.8984375,0.0078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,1,completed,200,200,800,2400,8.324286700051744,8.195673100242857,32.202645800076425,49.322444699995685,2600,1203,1397,266.90234375,270.63671875,3.734375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,2,completed,200,200,800,2400,9.023226099379826,8.811753999907523,34.59960410033818,53.0440289999824,2600,1203,1397,270.63671875,271.1328125,0.49609375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,3,completed,200,200,800,2400,8.793459900072776,8.815851299848873,35.2056795003009,53.440788400010206,2600,1203,1397,271.1328125,271.15234375,0.01953125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,4,completed,200,200,800,2400,8.234380499867257,8.256743900303263,32.502050999202766,49.583003099949565,2600,1203,1397,271.15234375,271.35546875,0.203125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,5,completed,200,200,800,2400,8.771298899140675,8.915167499915697,35.40977530012606,53.75971220002975,2600,1203,1397,271.35546875,271.39453125,0.0390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,500,1,timeout,439,439,1756,5268,20.524507200345397,19.768207099637948,78.29416810034309,120.01233399997,5707,2637,3070,268.390625,416.98046875,148.58984375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
