cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
validation,B,moderate,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-MDA,paired_delta_summary,,,,,1975.0,1957.0,2171.0,0.8291110087517273,0.834664022558349,0.5654659159851473,0.4655493482309125,1.2351271198844427
validation,B,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-44;RST-45,RST,127.0,,,,,,,,
validation,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41;RST-42;RST-43,RST,28.0,,,,,,,,
validation,B,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,FST-original,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-48,FST-original,15.0,,,,,,,,
validation,B,severe,FST-original,paired_delta_summary,,,,,774.0,545.0,931.0,24.597207303974223,24.56458069572557,1.2123839811060664,21.630359137882877,27.65737874097007
validation,B,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-FST,6.0,,,,,,,,
validation,B,severe,MI-FST,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-FST,15.0,,,,,,,,
validation,B,severe,MI-FST,paired_delta_summary,,,,,774.0,742.0,931.0,3.4371643394199785,3.404806063894507,1.1378617693070696,1.649442067376602,5.291049978549978
validation,B,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-C,6.0,,,,,,,,
validation,B,severe,MI-C,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-C,15.0,,,,,,,,
validation,B,severe,MI-C,paired_delta_summary,,,,,774.0,742.0,931.0,3.4371643394199785,3.404806063894507,1.1378617693070696,1.6573216589188795,5.229455709711846
validation,B,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,MI-M,paired_delta_summary,,,,,774.0,685.0,931.0,9.559613319011815,9.531641701880442,2.4302040152288384,7.668067226890757,11.471861471861471
validation,B,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,MI-MD,paired_delta_summary,,,,,774.0,685.0,931.0,9.559613319011815,9.531641701880442,2.4302040152288384,7.773055541234899,11.503419729731593
validation,B,severe,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,MI-MDA,paired_delta_summary,,,,,774.0,738.0,931.0,3.866809881847476,3.8466202995774355,1.84441647959405,2.6665983606557377,5.139664804469274
